"Plot Title: hobo_hpb"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 21978681, SEN S/N: 21978681)","Temp, °C (LGR S/N: 21978681, SEN S/N: 21978681)","Coupler Detached (LGR S/N: 21978681)","Coupler Attached (LGR S/N: 21978681)","Host Connected (LGR S/N: 21978681)","End Of File (LGR S/N: 21978681)"
1,04/23/24 02:00:00 PM,98.615,14.134,Logged,,,
2,04/23/24 02:10:00 PM,98.608,14.325,,,,
3,04/23/24 02:20:00 PM,98.586,14.517,,,,
4,04/23/24 02:30:00 PM,98.558,14.613,,,,
5,04/23/24 02:40:00 PM,98.535,14.804,,,,
6,04/23/24 02:50:00 PM,98.496,14.996,,,,
7,04/23/24 03:00:00 PM,98.485,15.091,,,,
8,04/23/24 03:10:00 PM,98.473,15.187,,,,
9,04/23/24 03:20:00 PM,98.446,15.282,,,,
10,04/23/24 03:30:00 PM,98.450,15.378,,,,
11,04/23/24 03:40:00 PM,98.450,15.378,,,,
12,04/23/24 03:50:00 PM,98.406,15.473,,,,
13,04/23/24 04:00:00 PM,98.390,15.473,,,,
14,04/23/24 04:10:00 PM,98.390,15.473,,,,
15,04/23/24 04:20:00 PM,98.378,15.569,,,,
16,04/23/24 04:30:00 PM,98.346,15.569,,,,
17,04/23/24 04:40:00 PM,98.341,15.473,,,,
18,04/23/24 04:50:00 PM,98.337,15.378,,,,
19,04/23/24 05:00:00 PM,98.320,15.378,,,,
20,04/23/24 05:10:00 PM,98.316,15.282,,,,
21,04/23/24 05:20:00 PM,98.299,15.282,,,,
22,04/23/24 05:30:00 PM,98.295,15.187,,,,
23,04/23/24 05:40:00 PM,98.285,14.996,,,,
24,04/23/24 05:50:00 PM,98.264,14.900,,,,
25,04/23/24 06:00:00 PM,98.248,14.900,,,,
26,04/23/24 06:10:00 PM,98.259,14.804,,,,
27,04/23/24 06:20:00 PM,98.222,14.709,,,,
28,04/23/24 06:30:00 PM,98.201,14.613,,,,
29,04/23/24 06:40:00 PM,98.213,14.517,,,,
30,04/23/24 06:50:00 PM,98.208,14.421,,,,
31,04/23/24 07:00:00 PM,98.187,14.325,,,,
32,04/23/24 07:10:00 PM,98.170,14.325,,,,
33,04/23/24 07:20:00 PM,98.198,14.230,,,,
34,04/23/24 07:30:00 PM,98.209,14.134,,,,
35,04/23/24 07:40:00 PM,98.225,14.134,,,,
36,04/23/24 07:50:00 PM,98.220,14.038,,,,
37,04/23/24 08:00:00 PM,98.232,13.942,,,,
38,04/23/24 08:10:00 PM,98.259,13.846,,,,
39,04/23/24 08:20:00 PM,98.270,13.750,,,,
40,04/23/24 08:30:00 PM,98.238,13.750,,,,
41,04/23/24 08:40:00 PM,98.249,13.654,,,,
42,04/23/24 08:50:00 PM,98.277,13.558,,,,
43,04/23/24 09:00:00 PM,98.288,13.461,,,,
44,04/23/24 09:10:00 PM,98.320,13.461,,,,
45,04/23/24 09:20:00 PM,98.315,13.365,,,,
46,04/23/24 09:30:00 PM,98.342,13.269,,,,
47,04/23/24 09:40:00 PM,98.321,13.173,,,,
48,04/23/24 09:50:00 PM,98.337,13.173,,,,
49,04/23/24 10:00:00 PM,98.316,13.076,,,,
50,04/23/24 10:10:00 PM,98.327,12.980,,,,
51,04/23/24 10:20:00 PM,98.327,12.980,,,,
52,04/23/24 10:30:00 PM,98.322,12.883,,,,
53,04/23/24 10:40:00 PM,98.301,12.787,,,,
54,04/23/24 10:50:00 PM,98.295,12.690,,,,
55,04/23/24 11:00:00 PM,98.295,12.690,,,,
56,04/23/24 11:10:00 PM,98.274,12.594,,,,
57,04/23/24 11:20:00 PM,98.274,12.594,,,,
58,04/23/24 11:30:00 PM,98.236,12.497,,,,
59,04/23/24 11:40:00 PM,98.252,12.497,,,,
60,04/23/24 11:50:00 PM,98.263,12.401,,,,
61,04/24/24 12:00:00 AM,98.242,12.304,,,,
62,04/24/24 12:10:00 AM,98.258,12.304,,,,
63,04/24/24 12:20:00 AM,98.258,12.304,,,,
64,04/24/24 12:30:00 AM,98.253,12.207,,,,
65,04/24/24 12:40:00 AM,98.237,12.207,,,,
66,04/24/24 12:50:00 AM,98.231,12.110,,,,
67,04/24/24 01:00:00 AM,98.215,12.110,,,,
68,04/24/24 01:10:00 AM,98.247,12.110,,,,
69,04/24/24 01:20:00 AM,98.242,12.013,,,,
70,04/24/24 01:30:00 AM,98.226,12.013,,,,
71,04/24/24 01:40:00 AM,98.242,12.013,,,,
72,04/24/24 01:50:00 AM,98.220,11.916,,,,
73,04/24/24 02:00:00 AM,98.220,11.916,,,,
74,04/24/24 02:10:00 AM,98.220,11.916,,,,
75,04/24/24 02:20:00 AM,98.199,11.819,,,,
76,04/24/24 02:30:00 AM,98.199,11.819,,,,
77,04/24/24 02:40:00 AM,98.199,11.819,,,,
78,04/24/24 02:50:00 AM,98.177,11.722,,,,
79,04/24/24 03:00:00 AM,98.177,11.722,,,,
80,04/24/24 03:10:00 AM,98.177,11.722,,,,
81,04/24/24 03:20:00 AM,98.193,11.722,,,,
82,04/24/24 03:30:00 AM,98.172,11.625,,,,
83,04/24/24 03:40:00 AM,98.188,11.625,,,,
84,04/24/24 03:50:00 AM,98.188,11.625,,,,
85,04/24/24 04:00:00 AM,98.204,11.625,,,,
86,04/24/24 04:10:00 AM,98.204,11.625,,,,
87,04/24/24 04:20:00 AM,98.204,11.625,,,,
88,04/24/24 04:30:00 AM,98.199,11.528,,,,
89,04/24/24 04:40:00 AM,98.199,11.528,,,,
90,04/24/24 04:50:00 AM,98.199,11.528,,,,
91,04/24/24 05:00:00 AM,98.215,11.528,,,,
92,04/24/24 05:10:00 AM,98.183,11.528,,,,
93,04/24/24 05:20:00 AM,98.177,11.431,,,,
94,04/24/24 05:30:00 AM,98.177,11.431,,,,
95,04/24/24 05:40:00 AM,98.193,11.431,,,,
96,04/24/24 05:50:00 AM,98.193,11.431,,,,
97,04/24/24 06:00:00 AM,98.177,11.431,,,,
98,04/24/24 06:10:00 AM,98.188,11.334,,,,
99,04/24/24 06:20:00 AM,98.188,11.334,,,,
100,04/24/24 06:30:00 AM,98.220,11.334,,,,
101,04/24/24 06:40:00 AM,98.204,11.334,,,,
102,04/24/24 06:50:00 AM,98.204,11.334,,,,
103,04/24/24 07:00:00 AM,98.215,11.236,,,,
104,04/24/24 07:10:00 AM,98.198,11.236,,,,
105,04/24/24 07:20:00 AM,98.231,11.236,,,,
106,04/24/24 07:30:00 AM,98.263,11.236,,,,
107,04/24/24 07:40:00 AM,98.279,11.236,,,,
108,04/24/24 07:50:00 AM,98.285,11.334,,,,
109,04/24/24 08:00:00 AM,98.301,11.334,,,,
110,04/24/24 08:10:00 AM,98.301,11.334,,,,
111,04/24/24 08:20:00 AM,98.317,11.334,,,,
112,04/24/24 08:30:00 AM,98.339,11.431,,,,
113,04/24/24 08:40:00 AM,98.323,11.431,,,,
114,04/24/24 08:50:00 AM,98.328,11.528,,,,
115,04/24/24 09:00:00 AM,98.345,11.528,,,,
116,04/24/24 09:10:00 AM,98.350,11.625,,,,
117,04/24/24 09:20:00 AM,98.350,11.625,,,,
118,04/24/24 09:30:00 AM,98.339,11.722,,,,
119,04/24/24 09:40:00 AM,98.323,11.722,,,,
120,04/24/24 09:50:00 AM,98.329,11.819,,,,
121,04/24/24 10:00:00 AM,98.345,11.819,,,,
122,04/24/24 10:10:00 AM,98.383,11.916,,,,
123,04/24/24 10:20:00 AM,98.372,12.013,,,,
124,04/24/24 10:30:00 AM,98.377,12.110,,,,
125,04/24/24 10:40:00 AM,98.388,12.304,,,,
126,04/24/24 10:50:00 AM,98.393,12.401,,,,
127,04/24/24 11:00:00 AM,98.382,12.497,,,,
128,04/24/24 11:10:00 AM,98.393,12.690,,,,
129,04/24/24 11:20:00 AM,98.398,12.787,,,,
130,04/24/24 11:30:00 AM,98.408,12.980,,,,
131,04/24/24 11:40:00 AM,98.397,13.076,,,,
132,04/24/24 11:50:00 AM,98.407,13.269,,,,
133,04/24/24 12:00:00 PM,98.385,13.461,,,,
134,04/24/24 12:10:00 PM,98.395,13.654,,,,
135,04/24/24 12:20:00 PM,98.384,13.750,,,,
136,04/24/24 12:30:00 PM,98.405,13.846,,,,
137,04/24/24 12:40:00 PM,98.383,14.038,,,,
138,04/24/24 12:50:00 PM,98.404,14.134,,,,
139,04/24/24 01:00:00 PM,98.365,14.325,,,,
140,04/24/24 01:10:00 PM,98.354,14.421,,,,
141,04/24/24 01:20:00 PM,98.363,14.613,,,,
142,04/24/24 01:30:00 PM,98.380,14.613,,,,
143,04/24/24 01:40:00 PM,98.368,14.709,,,,
144,04/24/24 01:50:00 PM,98.362,14.900,,,,
145,04/24/24 02:00:00 PM,98.339,15.091,,,,
146,04/24/24 02:10:00 PM,98.353,15.378,,,,
147,04/24/24 02:20:00 PM,98.362,15.569,,,,
148,04/24/24 02:30:00 PM,98.367,15.664,,,,
149,04/24/24 02:40:00 PM,98.378,15.569,,,,
150,04/24/24 02:50:00 PM,98.362,15.569,,,,
151,04/24/24 03:00:00 PM,98.339,15.760,,,,
152,04/24/24 03:10:00 PM,98.332,15.951,,,,
153,04/24/24 03:20:00 PM,98.341,16.141,,,,
154,04/24/24 03:30:00 PM,98.357,16.141,,,,
155,04/24/24 03:40:00 PM,98.341,16.141,,,,
156,04/24/24 03:50:00 PM,98.341,16.141,,,,
157,04/24/24 04:00:00 PM,98.366,16.332,,,,
158,04/24/24 04:10:00 PM,98.350,16.332,,,,
159,04/24/24 04:20:00 PM,98.362,16.237,,,,
160,04/24/24 04:30:00 PM,98.362,16.237,,,,
161,04/24/24 04:40:00 PM,98.325,16.141,,,,
162,04/24/24 04:50:00 PM,98.325,16.141,,,,
163,04/24/24 05:00:00 PM,98.341,16.141,,,,
164,04/24/24 05:10:00 PM,98.353,16.046,,,,
165,04/24/24 05:20:00 PM,98.336,16.046,,,,
166,04/24/24 05:30:00 PM,98.364,15.951,,,,
167,04/24/24 05:40:00 PM,98.360,15.855,,,,
168,04/24/24 05:50:00 PM,98.355,15.760,,,,
169,04/24/24 06:00:00 PM,98.367,15.664,,,,
170,04/24/24 06:10:00 PM,98.374,15.473,,,,
